BEAM	Serial_Number	Date	Location	Calibration
1	FLSB_024	20-Aug-03	MVCO	1/24/03
1	FLSB_024	02-Feb-04	Sosik_lab	1/24/03
2	FLSB_024	06-May-04	MVCO	3/8/04
2	FLSB_024	03-Jun-04	Sosik_lab	3/8/04
3	FLSB_042	07-Jul-04	MVCO	6/30/04
3	FLSB_042	03-Sep-04	Sosik_lab	6/30/04
4	FLSB_042	14-Sep-04	MVCO	6/30/04
4	FLSB_042	04-May-05	Sosik_lab	6/30/04
5	FLSB_256	04-May-05	MVCO	1/17/05
5	FLSB_256	09-Sep-05	Sosik_lab	1/17/05
6	FLSB_256	13-Sep-05	MVCO	1/17/05
6	FLSB_256	13-Sep-05	Sosik_lab	1/17/05
7	FLSB_256	28-Sep-05	MVCO	1/17/05
7	FLSB_256	02-Feb-06	Sosik_lab	1/17/05
8	FLSB_256	08-May-06	MVCO	3/10/06
8	FLSB_256	18-Sep-06	Sosik_lab	3/10/06
9	FLSB_256	27-Sep-06	MVCO	3/10/06
9	FLSB_256	24-Jan-07	Sosik_lab	3/10/06
10	FLSB_256	01-Feb-07	MVCO	3/10/06
10	FLSB_256	28-Feb-07	Sosik_lab	3/10/06
11	FLSB_256	09-Mar-07	MVCO	3/10/06
11	FLSB_256	23-Apr-07	Lost	3/10/06
12	FLNTUSB_694	03-May-07	MVCO (beam, no cable)	3/29/07
12	FLNTUSB_694	20-Sep-07	Sosik_Lab	3/29/07
13	FLNTUSB_693	13-Dec-07	MVCO	3/29/07
13	FLNTUSB_693	27-Jun-08	Sosik_Lab	3/29/07
14	FLNTUSB_693	09-Jul-08	MVCO	3/29/07
14	FLNTUSB_693	06-Dec-08	Sosik_Lab	3/29/07
15	FLNTUSB_957	06-Dec-08	MVCO	3/26/08
15	FLNTUSB_957	10-Feb-09	Sosik_Lab	3/26/08
16	FLNTUSB_693	13-Mar-09	MVCO	3/29/07
16	FLNTUSB_693	14-Jul-09	Sosik_Lab	3/29/07
17	FLSB_417	14-Jul-09	MVCO	6/1/07
17	FLSB_417	11-May-10	Sosik_lab	6/1/07
18	FLNTUSB_694	11-May-10	MVCO	7/16/06
18	FLNTUSB_694	16-Nov-10	Sosik_lab	7/16/06
19	FLNTUSB_960	16-Nov-10	MVCO	8/1/09
19	FLNTUSB_960	03-May-11	Sosik_lab	8/1/09
20	FLNTUSB_957	03-May-11	MVCO	7/1/10
20	FLNTUSB_957	12-Sep-11	Sosik_lab	7/1/10
21	FLNTUSB_960	12-Sep-11	MVCO	8/1/09
21	FLNTUSB_960	31-Oct-11	Sosik_lab	8/1/09
22	FLNTUSB_691	31-Oct-11	MVCO	8/1/08
22	FLNTUSB_691	20-Apr-12	Sosik_lab	8/1/08
23	FLNTUSB_960	20-Apr-12	MVCO	8/1/09
23	FLNTUSB_960	10-Jul-12	Sosik_lab	8/1/09
24	FLNTUSB_957	10-Jul-12	MVCO	6/1/12
24	FLNTUSB_957	14-Sep-12	Sosik_lab	6/1/12
25	FLNTUSB_960	14-Sep-12	MVCO	8/1/09
25	FLNTUSB_960	07-May-13	Sosik_lab	8/1/09
26	FLNTUSB_957	07-May-13	MVCO	6/1/12
26	FLNTUSB_957	13-Aug-13	Sosik_lab	6/1/12
27	FLNTUSB_962	13-Aug-13	MVCO	6/1/12
27	FLNTUSB_962	21-Nov-13	Sosik_lab	6/1/12
28	FLNTUSB_957	21-Nov-13	MVCO	6/1/12
28	FLNTUSB_957	02-Apr-14	Sosik_lab	6/1/12
29	FLNTUSB_962	02-Apr-14	MVCO	6/1/12
29	FLNTUSB_962	10-Nov-14	Sosik_lab	6/1/12
30	FLNTUSB_957	10-Nov-14	MVCO	6/1/12
30	FLNTUSB_957	13-Jul-15	Sosik_lab	6/1/12
31	FLNTUSB_962	13-Jul-15	MVCO	6/1/12
31	FLNTUSB_962	08-Oct-15	Sosik_lab	6/1/12
32	FLNTUSB_693	08-Oct-15	MVCO	8/1/10
32	FLNTUSB_693	28-Jun-16	Sosik_lab	8/1/10
33	FLNTUSB_957	28-Jun-16	MVCO	10/1/15
33	FLNTUSB_957	current	Sosik_lab	10/1/15
				
				
				
				
				
				
